Instr Addr,Branch target,Num times taken
 ffffffe0002321e2, ffffffe0002321e4,6
 ffffffe0002321ea, ffffffe0002321fe,6
 ffffffe000232220, ffffffe000232222,6
 ffffffe0002322c6, ffffffe0002322d6,6
 ffffffe0002322d6, ffffffe00012b954,6
 ffffffe00017274a, ffffffe000172768,6
 ffffffe00017277c, ffffffe00016203a,6
 ffffffe000198de8, ffffffe00003ebbe,6
 ffffffe00003f692, ffffffe00003ec78,6
 200008f33e, 200008f2f6,6
 2000090c5a, 2000090c4e,5
 ffffffe000014bc6, ffffffe000014bca,5
 ffffffe000014bd6, ffffffe000014bda,5
 ffffffe000014bea, ffffffe00008195e,5
 ffffffe0002322f0, ffffffe0002322f4,5
 ffffffe000232300, ffffffe000232304,5
 ffffffe000232318, ffffffe000232336,5
 ffffffe000232322, ffffffe000133502,5
 ffffffe000233d7c, ffffffe00023427a,5
 ffffffe00023427c,12742,5
 ffffffe0002341bc, ffffffe0002341c0,5
 ffffffe0002341c6, ffffffe00023426e,5
 ffffffe000234278, ffffffe000161f58,5
 ffffffe0001726f2, ffffffe000172706,5
 ffffffe00017270a, ffffffe000172710,5
 ffffffe00017271c, ffffffe0002320e4,5
 ffffffe000172736, ffffffe000172464,5
 ffffffe000172480, ffffffe000175c58,5
 ffffffe000175c6c, ffffffe000175c6e,5
 ffffffe000175c86, ffffffe000175c8a,5
 ffffffe000175c90, ffffffe000175c94,5
 ffffffe000175c94, ffffffe000175cf6,5
 ffffffe000175cfa, ffffffe000175ca4,5
 ffffffe000175caa, ffffffe000175cac,5
 ffffffe000175cbc, ffffffe00006346e,5
 ffffffe000063482, ffffffe00007f386,5
 ffffffe00007f396, ffffffe00007f39a,5
 ffffffe00007f39c, ffffffe000066988,5
 ffffffe000066992, ffffffe000066996,5
 ffffffe00006699a, ffffffe00006699e,5
 ffffffe0000669a0, ffffffe0000669a2,5
 ffffffe0000669cc, ffffffe00007f3a0,5
 ffffffe00007f3a4, ffffffe00007f3a8,5
 ffffffe00007f3a8, ffffffe00007f3aa,5
 ffffffe00007f3b2, ffffffe00007f3b4,5
 ffffffe00007f3c8, ffffffe00007f416,5
 ffffffe00007f41a, ffffffe00007f48c,5
 ffffffe00007f49c, ffffffe00007f3f2,5
 ffffffe00007f400, ffffffe000063486,5
 ffffffe000063488, ffffffe00006348a,5
 ffffffe000063492, ffffffe0002320e4,5
 ffffffe0000634a2, ffffffe000175cc0,5
 ffffffe000175cc2, ffffffe000175cc4,5
 ffffffe000175cca, ffffffe00012b93c,5
 ffffffe00012b950, ffffffe0002321dc,5
 ffffffe00023223a, ffffffe0002322b0,5
 ffffffe00012b988, ffffffe00012b98a,5
 ffffffe00012b99e, ffffffe000175cce,5
 ffffffe000175cda, ffffffe000175bbe,5
 ffffffe000175bde, ffffffe000175be0,5
 ffffffe000175be4, ffffffe000175b9a,5
 ffffffe000175ba2, ffffffe000175bac,5
 ffffffe000175bb0, ffffffe00015c8a6,5
 ffffffe00015c86a, ffffffe000175bb4,5
 ffffffe000175bb4, ffffffe000175bb6,5
 ffffffe000175bbc, ffffffe000175be8,5
 ffffffe000175bf8, ffffffe00015c0de,5
 ffffffe00015c0de, ffffffe00015c0e2,5
 ffffffe00015c104, ffffffe00015c108,5
 ffffffe00015c10a, ffffffe00015c10e,5
 ffffffe00015c118, ffffffe00015c14e,5
 ffffffe00015c150, ffffffe00015c154,5
 ffffffe00015c156, ffffffe00015c15a,5
 ffffffe00015c168, ffffffe00015c208,5
 ffffffe00015c20e, ffffffe00015b95a,5
 ffffffe00015b970, ffffffe00015b9a6,5
 ffffffe00015b9ce, ffffffe00015c212,5
 ffffffe00015c218, ffffffe00015b922,5
 ffffffe00015b92c, ffffffe00015b94c,5
 ffffffe00015b94e, ffffffe00015c21c,5
 ffffffe00015c21c, ffffffe00015c1e0,5
 ffffffe00015c200, ffffffe00012b836,5
 ffffffe00012b83a, ffffffe00012b84e,5
 ffffffe00012b850, ffffffe00015c204,5
 ffffffe00015c206, ffffffe00015c16c,5
 ffffffe00015c17a, ffffffe00015c17e,5
 ffffffe00015c1d4, ffffffe00015c12e,5
 ffffffe00015c14c, ffffffe000175bfc,5
 ffffffe000175c00, ffffffe00015bd86,5
 ffffffe00015bd8e,19786,5
 ffffffe00015bd2a, ffffffe00015bd2c,5
 ffffffe00015bd36, ffffffe00015bd92,5
 ffffffe00015bd92, ffffffe00015bd94,5
 ffffffe00015bd98, ffffffe00015bd9a,5
 ffffffe00015bd9e, ffffffe00015cf00,5
 ffffffe00015cf14, ffffffe00015bda0,5
 ffffffe00015bda0, ffffffe00015bdb0,5
 ffffffe00015bdb8, ffffffe000175c04,5
 ffffffe000175c04, ffffffe000175c08,5
 ffffffe000175c0a, ffffffe000175c12,5
 ffffffe000175c14, ffffffe000175c46,5
 ffffffe000175c4a, ffffffe00015c8a6,5
 ffffffe00015c7f0, ffffffe00015c7f4,5
 ffffffe00015c802, ffffffe00015c804,5
 ffffffe00015c804, ffffffe00015b9d0,5
 ffffffe00015ba04, ffffffe00015ba26,5
 ffffffe00015ba28, ffffffe00015b8d4,5
 ffffffe00015b8de, ffffffe00015b916,5
 ffffffe00015b916, ffffffe00015ba2c,5
 ffffffe00015ba44, ffffffe00015baa8,5
 ffffffe00015baa8, ffffffe00015ba96,5
 ffffffe00015baa6, ffffffe00015c808,5
 ffffffe00015c81c, ffffffe00015c81e,5
 ffffffe00015c82a, ffffffe00015c844,5
 ffffffe00015c85c, ffffffe000175c4e,5
 ffffffe000175c4e, ffffffe000175c50,5
 ffffffe000175c50, ffffffe000175c18,5
 ffffffe000175c38, ffffffe000175cde,5
 ffffffe000175ce4, ffffffe00007e596,5
 ffffffe00007e59c, ffffffe00007e5a0,5
 ffffffe00007e5d2, ffffffe00007e5d4,5
 ffffffe00007e5de, ffffffe00007e5e0,5
 ffffffe00007e5e6, ffffffe00007e5e8,5
 ffffffe00007e5fa, ffffffe00007e5fe,5
 ffffffe00007e614, ffffffe00007e620,5
 ffffffe00007e624, ffffffe00007e628,5
 ffffffe00007e638, ffffffe000175ce8,5
 ffffffe000175cf4, ffffffe000172482,5
 ffffffe000172484, ffffffe000172488,5
 ffffffe000172494, ffffffe0001724bc,5
 ffffffe0001724cc, ffffffe00017273a,5
 ffffffe00017273a, ffffffe00017273e,5
 ffffffe000138692, ffffffe00003aa84,5
 ffffffe00013869c, ffffffe000036e20,5
 ffffffe00013890c, ffffffe0001389a6,5
 ffffffe0001389aa, ffffffe0001389b6,5
 ffffffe0001389bc, ffffffe000138782,5
 ffffffe000138788, ffffffe00013878a,5
 ffffffe000138796, ffffffe0001389be,5
 ffffffe0001389c2, ffffffe0001389c4,5
